DriverNumber,LapNumber,Compound,TyreLife,FreshTyre
14,50.0,HARD,11.0,True
14,51.0,HARD,12.0,True
14,52.0,HARD,13.0,True
14,53.0,HARD,14.0,True
14,54.0,HARD,15.0,True
14,55.0,HARD,16.0,True
14,56.0,HARD,17.0,True
14,57.0,HARD,18.0,True
14,58.0,HARD,19.0,True
14,59.0,HARD,20.0,True
14,60.0,HARD,21.0,True
14,61.0,HARD,22.0,True
14,62.0,HARD,23.0,True
14,63.0,HARD,24.0,True
14,64.0,HARD,25.0,True
14,65.0,HARD,26.0,True
14,66.0,HARD,27.0,True
14,67.0,HARD,28.0,True
14,68.0,HARD,29.0,True
14,69.0,HARD,30.0,True
14,70.0,HARD,31.0,True
5,1.0,INTERMEDIATE,1.0,True
5,2.0,INTERMEDIATE,2.0,True
5,3.0,INTERMEDIATE,1.0,True
5,4.0,MEDIUM,1.0,True
5,5.0,MEDIUM,2.0,True
5,6.0,MEDIUM,3.0,True
5,7.0,MEDIUM,4.0,True
5,8.0,MEDIUM,5.0,True
5,9.0,MEDIUM,6.0,True
5,10.0,MEDIUM,7.0,True
5,11.0,MEDIUM,8.0,True
5,12.0,MEDIUM,9.0,True
5,13.0,MEDIUM,10.0,True
5,14.0,MEDIUM,11.0,True
5,15.0,MEDIUM,12.0,True
5,16.0,MEDIUM,13.0,True
5,17.0,MEDIUM,14.0,True
5,18.0,MEDIUM,15.0,True
5,19.0,MEDIUM,16.0,True
5,20.0,MEDIUM,17.0,True
5,21.0,MEDIUM,18.0,True
5,22.0,MEDIUM,19.0,True
5,23.0,MEDIUM,20.0,True
5,24.0,MEDIUM,21.0,True
5,25.0,MEDIUM,22.0,True
5,26.0,MEDIUM,23.0,True
5,27.0,MEDIUM,24.0,True
5,28.0,MEDIUM,25.0,True
5,29.0,MEDIUM,26.0,True
5,30.0,MEDIUM,27.0,True
5,31.0,MEDIUM,28.0,True
5,32.0,MEDIUM,29.0,True
5,33.0,MEDIUM,30.0,True
5,34.0,MEDIUM,31.0,True
5,35.0,MEDIUM,32.0,True
5,36.0,MEDIUM,33.0,True
5,37.0,HARD,1.0,True
5,38.0,HARD,2.0,True
5,39.0,HARD,3.0,True
5,40.0,HARD,4.0,True
5,41.0,HARD,5.0,True
5,42.0,HARD,6.0,True
5,43.0,HARD,7.0,True
5,44.0,HARD,8.0,True
5,45.0,HARD,9.0,True
5,46.0,HARD,10.0,True
5,47.0,HARD,11.0,True
5,48.0,HARD,12.0,True
5,49.0,HARD,13.0,True
5,50.0,HARD,14.0,True
5,51.0,HARD,15.0,True
5,52.0,HARD,16.0,True
5,53.0,HARD,17.0,True
5,54.0,HARD,18.0,True
5,55.0,HARD,19.0,True
5,56.0,HARD,20.0,True
5,57.0,HARD,21.0,True
5,58.0,HARD,22.0,True
5,59.0,HARD,23.0,True
5,60.0,HARD,24.0,True
5,61.0,HARD,25.0,True
5,62.0,HARD,26.0,True
5,63.0,HARD,27.0,True
5,64.0,HARD,28.0,True
5,65.0,HARD,29.0,True
5,66.0,HARD,30.0,True
5,67.0,HARD,31.0,True
5,68.0,HARD,32.0,True
5,69.0,HARD,33.0,True
5,70.0,HARD,34.0,True
3,1.0,INTERMEDIATE,1.0,True
3,2.0,INTERMEDIATE,2.0,True
3,3.0,INTERMEDIATE,1.0,True
3,4.0,MEDIUM,1.0,True
3,5.0,MEDIUM,2.0,True
3,6.0,MEDIUM,3.0,True
3,7.0,MEDIUM,4.0,True
3,8.0,MEDIUM,5.0,True
3,9.0,MEDIUM,6.0,True
3,10.0,MEDIUM,7.0,True
3,11.0,MEDIUM,8.0,True
3,12.0,MEDIUM,9.0,True
3,13.0,MEDIUM,10.0,True
3,14.0,MEDIUM,11.0,True
3,15.0,MEDIUM,12.0,True
3,16.0,MEDIUM,13.0,True
3,17.0,MEDIUM,14.0,True
3,18.0,MEDIUM,15.0,True
3,19.0,MEDIUM,16.0,True
3,20.0,MEDIUM,17.0,True
3,21.0,HARD,1.0,True
3,22.0,HARD,2.0,True
3,23.0,HARD,3.0,True
3,24.0,HARD,4.0,True
3,25.0,HARD,5.0,True
3,26.0,HARD,6.0,True
3,27.0,HARD,7.0,True
3,28.0,HARD,8.0,True
3,29.0,HARD,9.0,True
3,30.0,HARD,10.0,True
3,31.0,HARD,11.0,True
3,32.0,HARD,12.0,True
3,33.0,HARD,13.0,True
3,34.0,HARD,14.0,True
3,35.0,HARD,15.0,True
3,36.0,HARD,16.0,True
3,37.0,HARD,17.0,True
3,38.0,HARD,18.0,True
3,39.0,HARD,19.0,True
3,40.0,HARD,20.0,True
3,41.0,HARD,21.0,True
3,42.0,HARD,22.0,True
3,43.0,HARD,23.0,True
3,44.0,HARD,24.0,True
3,45.0,HARD,25.0,True
3,46.0,HARD,26.0,True
3,47.0,HARD,27.0,True
3,48.0,HARD,28.0,True
3,49.0,HARD,29.0,True
3,50.0,HARD,30.0,True
3,51.0,HARD,31.0,True
3,52.0,HARD,32.0,True
3,53.0,HARD,33.0,True
3,54.0,HARD,34.0,True
3,55.0,HARD,35.0,True
3,56.0,HARD,36.0,True
3,57.0,HARD,37.0,True
3,58.0,HARD,38.0,True
3,59.0,HARD,39.0,True
3,60.0,HARD,40.0,True
3,61.0,HARD,41.0,True
3,62.0,HARD,42.0,True
3,63.0,HARD,43.0,True
3,64.0,HARD,44.0,True
3,65.0,HARD,45.0,True
3,66.0,HARD,46.0,True
3,67.0,HARD,47.0,True
3,68.0,HARD,48.0,True
3,69.0,HARD,49.0,True
18,1.0,INTERMEDIATE,1.0,True
7,1.0,INTERMEDIATE,1.0,True
7,2.0,INTERMEDIATE,2.0,True
7,3.0,INTERMEDIATE,1.0,False
7,4.0,MEDIUM,1.0,True
7,5.0,MEDIUM,2.0,True
7,6.0,MEDIUM,3.0,True
7,7.0,MEDIUM,4.0,True
7,8.0,MEDIUM,5.0,True
7,9.0,MEDIUM,6.0,True
7,10.0,MEDIUM,7.0,True
7,11.0,MEDIUM,8.0,True
7,12.0,MEDIUM,9.0,True
7,13.0,MEDIUM,10.0,True
7,14.0,MEDIUM,11.0,True
7,15.0,MEDIUM,12.0,True
7,16.0,HARD,1.0,True
7,17.0,HARD,2.0,True
7,18.0,HARD,3.0,True
7,19.0,HARD,4.0,True
7,20.0,HARD,5.0,True
7,21.0,HARD,6.0,True
7,22.0,HARD,7.0,True
7,23.0,HARD,8.0,True
7,24.0,HARD,9.0,True
7,25.0,HARD,10.0,True
7,26.0,HARD,11.0,True
7,27.0,HARD,12.0,True
7,28.0,HARD,13.0,True
7,29.0,HARD,14.0,True
7,30.0,HARD,15.0,True
7,31.0,HARD,16.0,True
7,32.0,HARD,17.0,True
7,33.0,HARD,18.0,True
7,34.0,HARD,19.0,True
7,35.0,HARD,20.0,True
7,36.0,HARD,21.0,True
7,37.0,HARD,22.0,True
7,38.0,HARD,23.0,True
7,39.0,HARD,24.0,True
7,40.0,HARD,25.0,True
7,41.0,HARD,26.0,True
7,42.0,HARD,27.0,True
7,43.0,HARD,28.0,True
7,44.0,HARD,29.0,True
7,45.0,HARD,30.0,True
7,46.0,HARD,31.0,True
7,47.0,HARD,32.0,True
7,48.0,HARD,33.0,True
7,49.0,HARD,34.0,True
7,50.0,HARD,35.0,True
7,51.0,HARD,36.0,True
7,52.0,HARD,37.0,True
7,53.0,HARD,38.0,True
7,54.0,SOFT,1.0,True
7,55.0,SOFT,2.0,True
7,56.0,SOFT,3.0,True
7,57.0,SOFT,4.0,True
7,58.0,SOFT,5.0,True
7,59.0,SOFT,6.0,True
7,60.0,SOFT,7.0,True
7,61.0,SOFT,8.0,True
7,62.0,SOFT,9.0,True
7,63.0,SOFT,10.0,True
7,64.0,SOFT,11.0,True
7,65.0,SOFT,12.0,True
7,66.0,SOFT,13.0,True
7,67.0,SOFT,14.0,True
7,68.0,SOFT,15.0,True
7,69.0,SOFT,16.0,True
99,1.0,MEDIUM,1.0,False
99,2.0,INTERMEDIATE,1.0,True
99,3.0,INTERMEDIATE,1.0,True
99,4.0,MEDIUM,2.0,False
99,5.0,MEDIUM,3.0,False
99,6.0,MEDIUM,4.0,False
99,7.0,MEDIUM,5.0,False
99,8.0,MEDIUM,6.0,False
99,9.0,MEDIUM,7.0,False
99,10.0,MEDIUM,8.0,False
99,11.0,MEDIUM,9.0,False
99,12.0,MEDIUM,10.0,False
99,13.0,MEDIUM,11.0,False
99,14.0,MEDIUM,12.0,False
99,15.0,MEDIUM,13.0,False
99,16.0,MEDIUM,14.0,False
99,17.0,MEDIUM,15.0,False
99,18.0,MEDIUM,16.0,False
99,19.0,MEDIUM,17.0,False
99,20.0,MEDIUM,18.0,False
99,21.0,MEDIUM,19.0,False
99,22.0,MEDIUM,20.0,False
99,23.0,MEDIUM,21.0,False
99,24.0,MEDIUM,22.0,False
99,25.0,MEDIUM,23.0,False
99,26.0,MEDIUM,24.0,False
99,27.0,MEDIUM,25.0,False
99,28.0,MEDIUM,26.0,False
99,29.0,MEDIUM,27.0,False
99,30.0,MEDIUM,28.0,False
99,31.0,MEDIUM,29.0,False
99,32.0,MEDIUM,30.0,False
99,33.0,MEDIUM,31.0,False
99,34.0,HARD,1.0,True
99,35.0,HARD,2.0,True
99,36.0,HARD,3.0,True
99,37.0,HARD,4.0,True
99,38.0,HARD,5.0,True
99,39.0,HARD,6.0,True
99,40.0,HARD,7.0,True
99,41.0,HARD,8.0,True
99,42.0,HARD,9.0,True
99,43.0,HARD,10.0,True
99,44.0,HARD,11.0,True
99,45.0,HARD,12.0,True
99,46.0,HARD,13.0,True
99,47.0,HARD,14.0,True
99,48.0,HARD,15.0,True
99,49.0,HARD,16.0,True
99,50.0,HARD,17.0,True
99,51.0,HARD,18.0,True
99,52.0,HARD,19.0,True
99,53.0,HARD,20.0,True
99,54.0,HARD,21.0,True
99,55.0,HARD,22.0,True
99,56.0,HARD,23.0,True
99,57.0,HARD,24.0,True
99,58.0,HARD,25.0,True
99,59.0,HARD,26.0,True
99,60.0,HARD,27.0,True
99,61.0,HARD,28.0,True
99,62.0,HARD,29.0,True
99,63.0,HARD,30.0,True
99,64.0,HARD,31.0,True
99,65.0,HARD,32.0,True
99,66.0,HARD,33.0,True
99,67.0,HARD,34.0,True
99,68.0,HARD,35.0,True
99,69.0,HARD,36.0,True
55,1.0,INTERMEDIATE,1.0,True
55,2.0,INTERMEDIATE,2.0,True
55,3.0,INTERMEDIATE,1.0,True
55,4.0,MEDIUM,1.0,True
55,5.0,MEDIUM,2.0,True
55,6.0,MEDIUM,3.0,True
55,7.0,MEDIUM,4.0,True
55,8.0,MEDIUM,5.0,True
55,9.0,MEDIUM,6.0,True
55,10.0,MEDIUM,7.0,True
55,11.0,MEDIUM,8.0,True
55,12.0,MEDIUM,9.0,True
55,13.0,MEDIUM,10.0,True
55,14.0,MEDIUM,11.0,True
55,15.0,MEDIUM,12.0,True
55,16.0,MEDIUM,13.0,True
