DriverNumber,LapNumber,LapTime,TrackStatus,IsAccurate,RaceName
10,1.0,0 days 00:02:04.697000,24,False,Bahrain Grand Prix
10,2.0,0 days 00:02:22.263000,4,False,Bahrain Grand Prix
10,3.0,,4,False,Bahrain Grand Prix
10,4.0,0 days 00:02:06.772000,267,False,Bahrain Grand Prix
10,5.0,0 days 00:02:11.534000,7,False,Bahrain Grand Prix
10,6.0,0 days 00:01:36.677000,1,True,Bahrain Grand Prix
10,7.0,0 days 00:01:36.954000,1,True,Bahrain Grand Prix
10,8.0,0 days 00:01:37.424000,1,True,Bahrain Grand Prix
10,9.0,0 days 00:01:37.030000,1,True,Bahrain Grand Prix
10,10.0,0 days 00:01:37.375000,1,True,Bahrain Grand Prix
10,11.0,0 days 00:01:37.517000,1,True,Bahrain Grand Prix
10,12.0,0 days 00:01:38.054000,1,True,Bahrain Grand Prix
10,13.0,0 days 00:01:37.874000,1,True,Bahrain Grand Prix
10,14.0,0 days 00:01:38.302000,1,True,Bahrain Grand Prix
10,15.0,0 days 00:01:38.001000,1,True,Bahrain Grand Prix
10,16.0,0 days 00:01:37.993000,1,True,Bahrain Grand Prix
10,17.0,0 days 00:01:38.415000,1,True,Bahrain Grand Prix
10,18.0,0 days 00:01:39.272000,1,True,Bahrain Grand Prix
10,19.0,0 days 00:01:40.838000,1,False,Bahrain Grand Prix
10,20.0,0 days 00:01:59.290000,1,False,Bahrain Grand Prix
10,21.0,0 days 00:01:36.483000,1,True,Bahrain Grand Prix
10,22.0,0 days 00:01:36.475000,1,True,Bahrain Grand Prix
10,23.0,0 days 00:01:36.421000,1,True,Bahrain Grand Prix
10,24.0,0 days 00:01:36.519000,1,True,Bahrain Grand Prix
10,25.0,0 days 00:01:36.472000,1,True,Bahrain Grand Prix
10,26.0,0 days 00:01:36.890000,1,True,Bahrain Grand Prix
10,27.0,0 days 00:01:36.394000,1,True,Bahrain Grand Prix
10,28.0,0 days 00:01:36.512000,1,True,Bahrain Grand Prix
10,29.0,0 days 00:01:36.217000,1,True,Bahrain Grand Prix
10,30.0,0 days 00:01:36.061000,1,True,Bahrain Grand Prix
10,31.0,0 days 00:01:36.185000,1,True,Bahrain Grand Prix
10,32.0,0 days 00:01:36.452000,1,True,Bahrain Grand Prix
10,33.0,0 days 00:01:36.357000,1,True,Bahrain Grand Prix
10,34.0,0 days 00:01:36.689000,1,True,Bahrain Grand Prix
10,35.0,0 days 00:01:38.745000,1,True,Bahrain Grand Prix
10,36.0,0 days 00:01:36.891000,1,True,Bahrain Grand Prix
10,37.0,0 days 00:01:36.736000,1,True,Bahrain Grand Prix
10,38.0,0 days 00:01:36.928000,1,True,Bahrain Grand Prix
10,39.0,0 days 00:01:39.587000,1,False,Bahrain Grand Prix
10,40.0,0 days 00:01:56.887000,1,False,Bahrain Grand Prix
10,41.0,0 days 00:01:34.560000,1,True,Bahrain Grand Prix
10,42.0,0 days 00:01:34.349000,1,True,Bahrain Grand Prix
10,43.0,0 days 00:01:34.303000,2,True,Bahrain Grand Prix
10,44.0,0 days 00:01:34.978000,1,True,Bahrain Grand Prix
10,45.0,0 days 00:01:34.692000,1,True,Bahrain Grand Prix
10,46.0,0 days 00:01:34.230000,1,True,Bahrain Grand Prix
10,47.0,0 days 00:01:34.243000,1,True,Bahrain Grand Prix
10,48.0,0 days 00:01:34.090000,1,True,Bahrain Grand Prix
