DriverNumber,LapNumber,LapTime,TrackStatus,IsAccurate,RaceName
10,1.0,0 days 00:01:45.008000,2,False,Australian Grand Prix
10,2.0,0 days 00:01:31.585000,1,True,Australian Grand Prix
10,3.0,0 days 00:01:31.406000,1,True,Australian Grand Prix
10,4.0,0 days 00:01:32.361000,1,True,Australian Grand Prix
10,5.0,0 days 00:01:31.171000,1,True,Australian Grand Prix
10,6.0,0 days 00:01:31.020000,1,True,Australian Grand Prix
10,7.0,0 days 00:01:31.165000,1,True,Australian Grand Prix
10,8.0,0 days 00:01:31.434000,1,True,Australian Grand Prix
10,9.0,0 days 00:01:31.161000,1,True,Australian Grand Prix
10,10.0,0 days 00:01:31.449000,1,True,Australian Grand Prix
10,11.0,0 days 00:01:30.129000,1,True,Australian Grand Prix
10,12.0,0 days 00:01:30.497000,1,True,Australian Grand Prix
10,13.0,0 days 00:01:31.143000,1,True,Australian Grand Prix
10,14.0,0 days 00:01:30.303000,1,True,Australian Grand Prix
10,15.0,0 days 00:01:29.907000,1,True,Australian Grand Prix
10,16.0,0 days 00:01:29.569000,1,True,Australian Grand Prix
10,17.0,0 days 00:01:29.830000,1,True,Australian Grand Prix
10,18.0,0 days 00:01:30.036000,1,True,Australian Grand Prix
10,19.0,0 days 00:01:29.250000,1,True,Australian Grand Prix
10,20.0,0 days 00:01:29.474000,1,True,Australian Grand Prix
10,21.0,0 days 00:01:29.155000,1,True,Australian Grand Prix
10,22.0,0 days 00:01:29.675000,1,True,Australian Grand Prix
10,23.0,0 days 00:01:29.645000,1,True,Australian Grand Prix
10,24.0,0 days 00:01:29.354000,1,True,Australian Grand Prix
10,25.0,0 days 00:01:29.272000,1,True,Australian Grand Prix
10,26.0,0 days 00:01:28.985000,1,True,Australian Grand Prix
10,27.0,0 days 00:01:28.412000,1,True,Australian Grand Prix
10,28.0,0 days 00:01:28.451000,1,True,Australian Grand Prix
10,29.0,0 days 00:01:28.713000,1,True,Australian Grand Prix
10,30.0,0 days 00:01:28.627000,1,True,Australian Grand Prix
10,31.0,0 days 00:01:28.966000,2,True,Australian Grand Prix
10,32.0,0 days 00:01:28.825000,1,True,Australian Grand Prix
10,33.0,0 days 00:01:29.207000,1,True,Australian Grand Prix
10,34.0,0 days 00:01:28.974000,1,True,Australian Grand Prix
10,35.0,0 days 00:01:29.590000,1,True,Australian Grand Prix
10,36.0,0 days 00:01:29.661000,1,True,Australian Grand Prix
